Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,39.9994,-8.3262,90,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.6046,-2.916,180,top
C3,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.3124,-12.5936,90,top
C4,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,40.0188,-13.3094,-90,top
C5,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.9592,-21.6734,90,top
C6,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.0443,-24.2473,180,top
C7,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,12.45,-8.2375,-90,top
C8,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.0932,-2.0868,-90,top
C9,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.0874,-14.603,0,top
C10,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3.2026,-18.3818,0,top
C11,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10.3258,-18.3704,180,top
C12,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.1286,-11.576,90,top
C13,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.6102,-11.0804,-90,top
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.3772,-5.459,0,top
C17,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.0516,-22.753,180,top
C18,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.358,-7.452,0,top
C19,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.0598,-20.7414,180,top
C20,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.5366,-11.0872,-90,top
C21,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,15.396,-16.3114,90,top
C22,.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.8888,-21.6848,-90,top
D1,B140-E3,D_SMA,50.2198,-5.8516,0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.2,-21.375,90,top
D3,BAT43W-V,D_SOD-123,15.5843,-20.7367,90,top
D4,BAT43W-V,D_SOD-123,11.55,-24.06,180,top
L1,6.8u,IND_042068_WRE,44.0695,-7.8721,180,top
Q1,TSM150P04LCS_RLG,TRANS_TSM150P04LCS_RLG,57.4022,-9.2692,-90,top
Q2,S9013,SOT-23_Handsoldering,57.7822,-14.7958,-90,top
R1,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,53.5802,-14.0392,180,top
R2,2K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,52.5134,-10.1664,-90,top
R3,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.0816,-26.1976,-90,top
R4,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.0336,-17.0482,-90,top
R5,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,54.7923,-20.6595,180,top
R6,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.166,-26.3626,-90,top
R7,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.2736,-26.3394,-90,top
R8,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.276,-26.3396,-90,top
R9,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6.8196,-9.238,0,top
R10,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7.8536,-12.6576,-90,top
R11,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.3444,-12.6612,-90,top
R12,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.5592,-20.4988,0,top
R13,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.0803,-20.8885,90,top
R14,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.3192,-16.4658,-90,top
R15,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,50.0694,-10.3386,90,top
R16,249K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.5273,-21.1461,-90,top
R17,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.53,-18.51,0,top
R18,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,37.055,-23.985,-90,top
TH1,NTC_10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,13.048,-27.4298,90,top
U1,LMR50410Y5FQDBVRQ1,SOT-23-6_Handsoldering,45.2706,-12.7026,0,top
U2,OPA336Nx,SOT-23-5,45.8403,-21.4985,180,top
U3,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,21.9142,-13.5932,0,top
U4,MCP1825S,SOT-223-3_TabPin2,35.242,-11.4918,90,top
