"Reference","Value","Qty","Description"
"C1,C4,C13,C14,C17","10u","5","-- mixed values --"
"C2","1u","1","C2012X5R1H105K125AB"
"C3,C5,C6,C8,C9,C12,C18,C19,C20,C21,C22",".1u","11","C0805C104M5RAC7800"
"C10,C11","10n","2","CL21B103KBANNNC"
"D1","B140-E3","1","40V 1A Schottky Barrier Rectifier Diode, SMA(DO-214AC)"
"D2","LED","1","SML-LX0805SRC-TR"
"D3,D4","BAT43W-V","2","30V 0.2A Small Signal Schottky diode, SOD-123"
"J1","Conn_01x06_Pin","1","Generic connector, single row, 01x06, script generated"
"J2","Conn_01x04_Pin","1","Generic connector, single row, 01x04, script generated"
"J3,J5,J7,J9,J10,J11,J12,J13","Conn_01x01_Pin","8","Generic connector, single row, 01x01, script generated"
"J4","B2B-XH-A","1",""
"J6","B2B-ZRLFSN","1",""
"J8","GX12-5M","1","XLR Connector, Male or Female, 5 Pins"
"JP1,JP2,JP3","Jumper_2_Bridged","3","Jumper, 2-pole, closed/bridged"
"L1","6.8u","1","74405042068"
"LS1","PB-09N23P-03Q","1",""
"Q1","TSM150P04LCS_RLG","1",""
"Q2","S9013","1","TRANS NPN 25V 0.6A TO-18"
"R1,R13,R14","1K","3","-- mixed values --"
"R2","2K","1","RC1206FR-072KL"
"R3,R4,R5,R6,R7,R8,R9,R10,R11","4.7K","9","-- mixed values --"
"R12","470","1","RT0805BRD07470RL"
"R15","10K","1","RT0805BRD0710KL"
"R16","249K","1","RT0805BRD07249KL"
"R17,R18","0","2",""
"SW1","PEC11R-4225F-S0024","1",""
"TH1","NTC_10K","1","ABNTC-0805-103J-3950F-T"
"U1","LMR50410Y5FQDBVRQ1","1",""
"U2","OPA336Nx","1","100 KHz, microPower CMOS, Op Amps, SOT-23-5"
"U3","STM32F103C8Tx","1","STMicroelectronics Arm Cortex-M3 MCU, 64KB flash, 20KB RAM, 72 MHz, 2.0-3.6V, 37 GPIO, LQFP48"
"U4","MCP1825S","1","500mA, Low-Voltage, Low Quiescent Current LDO Regulator, SOT-223, TO-220, TO-263"
